Cheques Processed Daily,Mins taken to process,Fraud detected
120,3,4
250,5,25
490,7,49
550,4,25
223,6,18
456,7,48
500,8,58
460,4,40
440,6,40
304,7,32
220,9,25
312,4,48
178,6,17
164,6,16
235,7,23
499,8,58
129,9,14
125,5,10
328,2,2
500,1,12
432,3,12
198,4,6
127,5,8
159,1,2
345,9,30
432,5,25
419,7,41
418,6,40
404,6,42
444,6,45
332,3,7
114,6,12
225,3,2
446,8,62
449,7,42
432,4,12
234,3,4
196,2,3
476,2,8
265,8,12
109,9,24
390,4,7
122,6,10
287,7,24
163,5,12
244,4,12
243,3,2
242,2,3
241,6,24
240,3,3
239,8,14
238,4,8
237,3,5
236,9,26
235,5,44
234,7,26
233,2,6
212,9,22
456,4,7
500,7,58
345,3,2
254,5,12
234,7,22
145,8,10
234,9,43
125,2,4
543,6,54
213,5,14
254,3,6
243,5,5
232,7,20
221,8,44
122,1,2
121,3,2
120,4,4
119,2,2
118,8,12
117,9,14
116,2,2
400,7,43
116,5,12
112,5,12
184,6,14
122,8,15
197,5,5
113,3,4
114,6,23
400,9,45
116,4,5
117,3,3
118,2,1
119,5,8
110,3,2
111,8,9
112,9,18
113,6,9
220,6,18
124,4,7
112,6,12
111,8,8
118,3,2
116,5,12
115,3,3
450,1,2
114,5,9
113,1,1
112,7,12
111,5,3
223,9,30
222,5,15
221,9,42
219,4,9
218,8,20
217,3,4
216,7,18
215,3,4
214,5,16
213,8,12
96,9,10
60,6,6
